time_s,wave_elevation_m,body_position_x_m,body_position_y_m,body_position_z_m,body_roll_rad,body_pitch_rad,body_yaw_rad,body_velocity_x_m_s,body_velocity_y_m_s,body_velocity_z_m_s,body_omega_x_rad_s,body_omega_y_rad_s,body_omega_z_rad_s,body_acceleration_x_m_s2,body_acceleration_y_m_s2,body_acceleration_z_m_s2,body_alpha_x_rad_s2,body_alpha_y_rad_s2,body_alpha_z_rad_s2,body_forceTotal_x_N,body_forceTotal_y_N,body_forceTotal_z_N,body_forceTotal_Mx_Nm,body_forceTotal_My_Nm,body_forceTotal_Mz_Nm,body_forceExcitation_x_N,body_forceExcitation_y_N,body_forceExcitation_z_N,body_forceExcitation_Mx_Nm,body_forceExcitation_My_Nm,body_forceExcitation_Mz_Nm,body_forceRadiationDamping_x_N,body_forceRadiationDamping_y_N,body_forceRadiationDamping_z_N,body_forceRadiationDamping_Mx_Nm,body_forceRadiationDamping_My_Nm,body_forceRadiationDamping_Mz_Nm,body_forceAddedMass_x_N,body_forceAddedMass_y_N,body_forceAddedMass_z_N,body_forceAddedMass_Mx_Nm,body_forceAddedMass_My_Nm,body_forceAddedMass_Mz_Nm,body_forceRestoring_x_N,body_forceRestoring_y_N,body_forceRestoring_z_N,body_forceRestoring_Mx_Nm,body_forceRestoring_My_Nm,body_forceRestoring_Mz_Nm,body_forceMorisonAndViscous_x_N,body_forceMorisonAndViscous_y_N,body_forceMorisonAndViscous_z_N,body_forceMorisonAndViscous_Mx_Nm,body_forceMorisonAndViscous_My_Nm,body_forceMorisonAndViscous_Mz_Nm,body_forceLinearDamping_x_N,body_forceLinearDamping_y_N,body_forceLinearDamping_z_N,body_forceLinearDamping_Mx_Nm,body_forceLinearDamping_My_Nm,body_forceLinearDamping_Mz_Nm,constraint_position_x_m,constraint_position_y_m,constraint_position_z_m,constraint_roll_rad,constraint_pitch_rad,constraint_yaw_rad,constraint_velocity_x_m_s,constraint_velocity_y_m_s,constraint_velocity_z_m_s,constraint_omega_x_rad_s,constraint_omega_y_rad_s,constraint_omega_z_rad_s,constraint_acceleration_x_m_s2,constraint_acceleration_y_m_s2,constraint_acceleration_z_m_s2,constraint_alpha_x_rad_s2,constraint_alpha_y_rad_s2,constraint_alpha_z_rad_s2,constraint_force_x_N,constraint_force_y_N,constraint_force_z_N,constraint_moment_x_Nm,constraint_moment_y_Nm,constraint_moment_z_Nm
0,0.6,0,0,0.696831041192685,0,0,0,0,8.27180612553028e-25,-1.79959058238185e-06,0,0,0,-2.16840434497101e-19,-4.33680868994202e-19,-1.48052290710138,0,0,0,0.0013004592858202,-6.06298166908973e-06,-151.686844290329,-7.70496521810069e-05,-0.000366456456060138,0.00833351675291942,0.000718072173302624,-2.27790377643228e-05,1080.3942949043,-9.86157852965495e-05,-0.00712970570568986,0.0106759664768966,2.0977165416981e-12,1.87305082172667e-12,-1.2774327118216e-05,1.09168149220267e-12,8.570094076287e-11,-1.31128109086341e-10,-0.000582387114615296,-1.67160579682839e-05,78.5244460535792,-2.11312435940118e-05,0.000301082764521014,0.00234244985510529,0,0,1153.55670591538,-4.3489061321234e-07,-0.00706433209985168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599831041192685,0,0,0,0,0,-1.79959058238185e-06,0,0,0,0,0,-1.48052290710138,0,0,0,-0.00130045928582021,6.06298166908959e-06,0,7.2824778351803e-05,-0.000539743942106655,-0.00833351675291942
0.0625,0.597110836003319,0,0,0.69394185246063,0,0,0,-6.7762635780344e-21,-2.71050543121376e-20,-0.0923777013340748,0,0,0,2.16840434497101e-19,4.33680868994202e-19,-1.47336811795406,0,0,0,-2.17773813892077,-0.000131925121560777,-150.953800997236,-0.000680105117296059,-0.251410106144584,0.00828325481218456,-2.17831760511078,-0.000148464283361422,1074.53599288926,-0.000701513131016139,-0.258133384538713,0.0106076582237938,1.07681288216153e-07,9.61486079594826e-08,-0.655739692585215,5.60388723001425e-08,4.39925391216665e-06,-6.73114952715932e-06,-0.000579573871296088,-1.66353104086044e-05,78.1451307017889,-2.10291683104486e-05,0.000299628372666224,0.0023311345611364,0,0,1148.00040287729,-4.34884281931799e-07,-0.00702730602070742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59694185246063,0,0,0,0,0,-0.0923777013340748,0,0,0,0,0,-1.47336811795406,0,0,0,2.17773813892077,0.000131925121560794,0,0.000588556754054115,1.76263374444143,-0.00828325481218456
0.125,0.588471168241939,0,0,0.685302440491103,0,0,0,2.71050543121376e-20,-5.42101086242752e-20,-0.183860555868015,0,0,0,0,-4.33680868994202e-19,-1.45196909573636,0,0,0,-4.33580395105298,-0.000256517397839053,-148.761366057167,-0.00127660744361428,-0.500038541741911,0.0081533115723482,-4.33637489306874,-0.000272719736750954,1058.32932186157,-0.00129765452179813,-0.506651097768639,0.01043719242326,2.14319486435446e-07,1.91365840999181e-07,-1.30512734829187,1.11534905745922e-07,8.75589301329744e-06,-1.33970955741647e-05,-0.000571156335239117,-1.63937047528995e-05,77.0101770954694,-2.07237477398063e-05,0.000295276670915146,0.00229727794648597,0,0,1131.38563817156,-4.34865349786496e-07,-0.00691658859065709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588302440491103,0,0,0,0,0,-0.183860555868015,0,0,0,0,0,-1.45196909573636,0,0,0,4.33580395105298,0.000256517397839273,0,0.00110081544484664,3.47137557088949,-0.00815331157234821
0.1875,0.574164201439325,0,0,0.670996316445166,0,0,0,2.71050543121376e-20,0,-0.273566407762243,0,0,0,3.25260651745651e-19,0,-1.41654754721343,0,0,0,-6.45211361630604,-0.000378639705880197,-145.132254417254,-0.00186081172060041,-0.74385733518074,0.00794490883819055,-6.45267052030279,-0.0003943487499918,1031.93036092269,-0.00188129879016508,-0.750289483963389,0.0101662107541404,3.18886298046883e-07,2.84733533211587e-07,-1.94190101655501,1.6595296017116e-07,1.30279068671901e-05,-1.99335593943413e-05,-0.000557222883048877,-1.59937776448147e-05,75.13150123298,-2.02181885250698e-05,0.000288073348246288,0.00224123547534424,0,0,1103.87301512352,-4.34833999780254e-07,-0.00673325003776316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573996316445166,0,0,0,0,0,-0.273566407762243,0,0,0,0,0,-1.41654754721343,0,0,0,6.45211361630604,0.000378639705880479,0,0.00160674587269471,5.07320180500779,-0.00794490883819055
0.25,0.554327719506775,0,0,0.651161717697382,0,0,0,-2.71050543121376e-20,0,-0.360629407679638,0,0,0,1.0842021724855e-19,4.33680868994202e-19,-1.36746243273041,0,0,0,-8.50628590884391,-0.000497115742064778,-140.103243328101,-0.00242709149147345,-0.980518375736587,0.00766002589206892,-8.50682340303721,-0.000512179969197237,995.593346497615,-0.00244682512276005,-0.98670217227755,0.00979732291804251,4.20372434329534e-07,3.75350490831709e-07,-2.55991449791364,2.18767787385729e-07,1.71740615934961e-05,-2.62774504228451e-05,-0.000537914565734525,-1.54395776232907e-05,72.5281213104375,-1.95176085391449e-05,0.000278091325276744,0.00216357447639644,0,0,1065.72838301319,-4.34790534842264e-07,-0.00647906192783389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554161717697382,0,0,0,0,0,-0.360629407679638,0,0,0,0,0,-1.36746243273041,0,0,0,8.50628590884391,0.000497115742065235,0,0.0021033887509756,6.51948611936442,-0.00766002589206891
0.3125,0.529152758609014,0,0,0.6259902064269,0,0,0,2.71050543121376e-20,0,-0.444210417615651,0,0,0,1.0842021724855e-19,0,-1.30520791053212,0,0,0,-10.4785380180689,-0.00061080427283514,-133.724961729237,-0.0029699928637967,-1.20774248560372,0.00730137209051154,-10.4790509260983,-0.000625078615313286,949.668223899076,-0.00298878719185233,-1.21361237928647,0.00933408150648222,5.17799742980233e-07,4.62343321797844e-07,-3.15321120231201,2.69470343033685e-07,2.11543953713861e-05,-3.23676244300519e-05,-0.000513425829114827,-1.47366857999436e-05,69.2262548553653,-1.86290630239125e-05,0.000265431126697387,0.00206507704040073,0,0,1017.32014197526,-4.34735374756072e-07,-0.00615647920482206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5289902064269,0,0,0,0,0,-0.444210417615651,0,0,0,0,0,-1.30520791053212,0,0,0,10.4785380180689,0.000610804272835885,0,0.00258763537095819,7.76720466258678,-0.00730137209051154
0.375,0.498881767381525,0,0,0.595724742190115,0,0,0,5.42101086242752e-20,0,-0.523505178844047,0,0,0,1.0842021724855e-19,4.33680868994202e-19,-1.23040474498062,0,0,0,-12.3498760696286,-0.000718610175144068,-126.061009978806,-0.00348428709626641,-1.42334136979096,0.00687236773631066,-12.350359460309,-0.000731957412661137,894.597277162928,-0.0035019656064498,-1.42883483565485,0.00878094778748649,6.10230729187468e-07,5.44874937117196e-07,-3.71608212896004,3.17572741495394e-07,2.4930607417265e-05,-3.81454786831957e-05,-0.000484000911187759,-1.38921124541871e-05,65.25883297667,-1.75614138729487e-05,0.000250219018783328,0.00194672552985903,0,0,959.115536294023,-4.34669051935881e-07,-0.00576861549009278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498724742190115,0,0,0,0,0,-0.523505178844047,0,0,0,0,0,-1.23040474498062,0,0,0,12.3498760696286,0.000718610175144185,0,0.00305619323494311,8.78046810745032,-0.00687236773631066
0.4375,0.463806272017647,0,0,0.560657260405066,0,0,0,5.42101086242752e-20,2.16840434497101e-19,-0.59775194607414,0,0,0,1.0842021724855e-19,0,-1.14379116481705,0,0,0,-14.1022780480554,-0.000819495018695523,-117.187023237579,-0.00396502099944143,-1.62523869099697,0.00637711613705035,-14.1027272815233,-0.00083178705999641,830.910869611102,-0.00398141817788787,-1.63029683147524,0.00814324874114311,6.96777454487638e-07,6.22152496653439e-07,-4.24312005711586,3.62612886978759e-07,2.84664215421639e-05,-4.35555082132291e-05,-0.000449930245372178,-1.29141937975401e-05,60.6650154063547,-1.63251991273071e-05,0.000232605149940089,0.001809688112306,0,0,891.675997499442,-4.3459220612011e-07,-0.00531921204975767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463657260405066,0,0,0,0,0,-0.59775194607414,0,0,0,0,0,-1.14379116481705,0,0,0,14.1022780480554,0.000819495018696159,0,0.00350556516734368,9.5317832668902,-0.00637711613705035
0.5,0.424264068711929,0,0,0.521125792139766,0,0,0,0,0,-0.666238525897019,0,0,0,0,4.33680868994202e-19,-1.04621312146528,0,0,0,-15.718867359664,-0.000912487096014853,-107.189673384321,-0.00440756467506364,-1.81149006620465,0.0058203682319866,-15.719278129682,-0.000923606143242885,759.222336162817,-0.00442252751580846,-1.81605817759768,0.00742712575786976,7.76609741222896e-07,6.93434734886041e-07,-4.72926950823563,4.04158743235653e-07,3.17279213399033e-05,-4.8545818674889e-05,-0.000411546627796186,-1.18124819629184e-05,55.4896737271739,-1.49324939099989e-05,0.000212761569266557,0.00165530334455805,0,0,815.6516053282,-4.34505578059786e-07,-0.00481260088364029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424125792139766,0,0,0,0,0,-0.666238525897019,0,0,0,0,0,-1.04621312146528,0,0,0,15.718867359664,0.000912487096014214,0,0.00393204411433556,10.0029972705495,-0.0058203682319866
0.5625,0.380635970498196,0,0,0.477511163168146,0,0,0,5.42101086242752e-20,0,-0.728308700362666,0,0,0,-1.0842021724855e-19,-2.16840434497101e-19,-0.938614415983702,0,0,0,-17.1840753640556,-0.000996690799736257,-96.165657473497,-0.00480765612910753,-1.98030179236049,0.00520747956234627,-17.18444373642,-0.00100653039443543,680.22207658416,-0.00482104549615223,-1.98432989071142,0.00663947549346842,8.48962660268706e-07,7.58038646701206e-07,-5.16987234349801,4.4181223028172e-07,3.46838560936742e-05,-5.30685944040034e-05,-0.000369221327045178,-1.05976333458757e-05,49.7828668419974,-1.33967692727019e-05,0.000190880215370675,0.00148506452552615,0,0,731.774739559158,-4.34410002284957e-07,-0.00425366242239206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380511163168146,0,0,0,0,0,-0.728308700362666,0,0,0,0,0,-0.938614415983702,0,0,0,17.1840753640556,0.000996690799737188,0,0.00433172514600599,10.1858896074198,-0.00520747956234626
